posted,neighborhood,post title,URL,price,city
2020-04-07 19:15:00,(Round Rock,2005 Yamaha Midnight Venture,https://austin.craigslist.org/mcy/d/round-rock-2005-yamaha-midnight-venture/7105028351.html,4400.0,Austin
2020-04-07 18:41:00,(Pflugerville,HARLEY PROJECT (MECHANIC) BIKE FOR SALE,https://austin.craigslist.org/mcy/d/round-rock-harley-project-mechanic-bike/7105014741.html,2800.0,Austin
2020-04-07 16:43:00,(South Austin,2009 KTM 200 XC,https://austin.craigslist.org/mcy/d/austin-2009-ktm-200-xc/7104962119.html,2500.0,Austin
2020-04-07 15:58:00,(Wimberley,Ducati 2012 Monster 696 ABS Price Reduced,https://austin.craigslist.org/mcy/d/wimberley-ducati-2012-monster-696-abs/7104937790.html,4200.0,Austin
2020-04-07 15:13:00,(Elgin,Motorcycle,https://austin.craigslist.org/mcy/d/elgin-motorcycle/7104912183.html,11000.0,Austin
2020-04-07 15:01:00,(Lockhart Texas,2015 Honda cbr 300cc,https://austin.craigslist.org/mcy/d/lockhart-2015-honda-cbr-300cc/7104905574.html,2500.0,Austin
2020-04-07 13:53:00,(Round Rock,2004 Suzuki Katana GSX750F,https://austin.craigslist.org/mcy/d/round-rock-2004-suzuki-katana-gsx750f/7104864555.html,2950.0,Austin
2020-04-07 12:49:00,(Mission City Indian Motorcycle,2018 Harley-Davidson® FLHCS - Softail Heritage Classic 114 V Twin,https://austin.craigslist.org/mcd/d/boerne-2018-harley-davidson-flhcs/7104824593.html,15985.0,Austin
2020-04-07 12:27:00,(Mission City Indian Motorcycle,2020 Indian Challenger Dark Horse Thunder Black Smoke V Twin,https://austin.craigslist.org/mcd/d/boerne-2020-indian-challenger-dark/7104810728.html,27499.0,Austin
2020-04-07 08:46:00,(San Antonio,Classic Harley Davidson,https://austin.craigslist.org/mcy/d/san-antonio-classic-harley-davidson/7104679917.html,5800.0,Austin
2020-04-07 08:13:00,"(Austin, Tx",2019 Harley-Davidson® XG750 - Street® 750,https://austin.craigslist.org/mcd/d/austin-2019-harley-davidson-xg750/7104665801.html,7280.0,Austin
2020-03-17 08:42:00,"(Austin, Tx",2019 Harley-Davidson® XG750 - Street® 750,https://austin.craigslist.org/mcd/d/austin-2019-harley-davidson-xg750/7094680311.html,7280.0,Austin
2020-04-07 08:13:00,"(Austin, Tx",2014 Honda® CB1100,https://austin.craigslist.org/mcd/d/austin-2014-honda-cb1100/7104665758.html,7180.0,Austin
